subcode,SSRT_motorsel,SSRT_stimsel,SSRT_high,SSRT_low,UPPS.lack_of_perseverance,UPPS.lack_of_premeditation,UPPS.negative_urgency,UPPS.positive_urgency,UPPS.sensation_seeking,spatial.forward_span,spatial.reverse_span,digit.forward_span,digit.reverse_span,SSS.boredom_susceptibility,SSS.disinhibition,SSS.experience_seeking,SSS.thrill_adventure_seeking,Dickman.dysfunctional,Dickman.functional
s274,0.7084920729609596,0.290388463365658,-0.4866217645088332,0.6794646117445677,0.5483542730976007,-0.837248940099005,-0.6104467087732849,-0.10456302735585138,-0.4433260629815694,0.10961585970329883,0.5337933219605026,0.3840866717519638,0.8305185230666138,0.6592827608599848,0.70490641739858,1.9518705663107256,-0.3471884152985292,-0.561056905097761,-1.0255164194608184
s276,-0.05080172200533943,-0.865225626073986,-1.7200266073583317,-1.177546079225184,-1.0568807095175852,-0.10123209081973988,-0.20566552201942603,-0.5832293301231279,0.8523448640475376,0.10961585970329883,0.07177053068376528,-0.772853522282386,-1.5846623930305719,-0.2667098441660847,0.70490641739858,1.4868528292815677,1.9147650253361657,-0.561056905097761,1.2728304427060286
s278,1.5915046651917515,0.9335582959494223,-0.5236609489795288,0.002201889155202939,0.5483542730976007,-0.10123209081973988,1.9531674739471838,0.3741032754114248,-0.7966908612493852,-0.6375451840096287,-1.5453092387848177,-1.062088570790973,0.4164875088785251,-0.2667098441660847,-0.8649392256728516,-0.37321811925358145,-1.3165970327133982,-0.561056905097761,-1.0255164194608184
s282,0.34946497502213475,-0.4076861110240374,-0.0014084479531645436,-0.31614280072521894,-0.8785212670047866,-0.65324472782979,-1.4200090822810028,-0.5832293301231279,-0.32553779693941254,-2.131867271435485,-0.6212636562313422,-0.4836184737737982,1.0375340301606588,1.1222790633730195,-0.08001640413713598,-1.303253593311898,-0.993460826908442,-0.12215416177489333,-0.45092970399811233
s283,0.17722900236085745,0.8864970886871956,0.5319558084141862,-0.2630853524124394,0.7267137156103993,0.45078054598790523,1.6833133493906407,2.2887684866480633,0.381191799596219,0.9813037440350483,0.4182876241413185,-0.0015600595928194855,-0.1355538433722601,2.5112679709121237,1.4898292389342953,1.4868528292815677,-0.3471884152985292,0.3167485820746588,0.12365701146459376
s284,1.0942036173692529,-0.5148810831208086,1.487566767739023,2.224372665576027,0.5483542730976007,-0.65324472782979,-0.20566552201942603,0.015103548461617681,-0.5611143290237259,1.6039379471291548,0.6492990197796876,-1.2549119364633647,-0.8256055336857417,-0.2667098441660847,-0.4724778149049939,0.5568173552232512,-0.993460826908442,-0.561056905097761,-1.3128097771921718
s288,-0.6330078267725746,-1.0508559436078018,-1.1348074927337848,-1.3804127933640444,1.0834326006359956,-1.3892615769066505,-0.47551964657596957,-0.8225624814229993,-1.5034204577850168,-0.014910980915522048,0.5337933219605026,0.19126330607957132,-0.06654867434091218,-0.2667098441660847,-1.2574006364407093,0.09179961819409276,-0.993460826908442,-0.561056905097761,-0.7382230617294657
s292,0.4901647836732464,-1.7907627022311101,-0.053263306210360725,-0.10391300747222848,-0.16508349695359278,0.26677633371869036,0.3340427269317482,-0.5832293301231279,-0.6789025952072286,0.2341427003221208,0.5337933219605026,0.19126330607957132,-0.20455901240360863,-1.1927024491921543,-0.4724778149049939,0.09179961819409276,-0.024052209493572698,-0.12215416177489333,-0.45092970399811233
s293,0.6648266151034169,-0.30310565044078863,-0.10141424602204281,-0.6095192796352514,1.4401514856615927,0.082772121449475,-0.20566552201942603,-0.10456302735585138,-1.150055659517201,-0.13943782153434292,1.6888503001523472,-0.4836184737737982,-0.27356418143495653,-0.7297061466791194,-0.8649392256728516,0.09179961819409276,-0.993460826908442,-0.561056905097761,-1.0255164194608184
s294,0.2475789066878686,-0.6717517739948975,-1.1422153296270352,-1.5083748745917367,0.7267137156103993,-0.28523630308895476,1.6833133493906407,0.8527695783462346,-1.2678439255593574,-0.26396466215316494,1.22682750887561,0.3840866717519638,0.0024564946904363514,-0.2667098441660847,-0.4724778149049939,-0.8382358562827399,-1.3165970327133982,-0.561056905097761,-1.3128097771921718
s295,-0.38557023224649967,-0.7580306539756463,0.16526788216163257,-0.7530864927173307,-1.2352401520303833,-0.10123209081973988,0.7388239136856071,-0.34389617865572303,-0.20774953075591043,-0.5130183433908078,-2.0073320300615554,-0.9656768879547768,-1.1706313788424825,1.5852753658860548,-0.8649392256728516,1.4868528292815677,-0.6703246211034856,-0.561056905097761,-0.7382230617294657
s296,0.012270606010625934,-0.0024368262664973732,-0.7273764635650215,0.526534319546486,0.013275945559205396,0.6347847582571206,-0.6104467087732849,-0.5832293301231279,0.9701331300896938,0.4831963815597637,1.22682750887561,-0.5800301566099945,0.07146166372178427,-1.1927024491921543,1.4898292389342953,1.021835092252409,1.5916288195312092,-0.561056905097761,0.12365701146459376
s297,-1.033274523800049,0.19103702581259122,-0.43106298780390084,0.9853251961388587,0.013275945559205396,-0.837248940099005,1.008678038242151,0.25443669976148897,-0.6789025952072286,-0.014910980915522048,-0.043735167135419806,0.5769100374243545,0.7615133540352659,0.6592827608599848,-0.4724778149049939,0.5568173552232512,-0.6703246211034856,1.194554068720394,1.2728304427060286
s298,-0.6378595443132719,-0.11486082139188204,-0.2532749023481172,-0.013403242701056358,0.19163538807200356,1.0027931827955512,0.06418860237520503,-0.34389617865572303,-0.0899612647137536,-0.5130183433908078,-0.7367693540505262,-1.062088570790973,-0.6185900265916974,-0.7297061466791194,1.0973678281664376,0.09179961819409276,0.2990839963113836,0.3167485820746588,1.2728304427060286
s299,0.1529704146631929,-0.04949803352872403,2.198719109562157,2.882909229935259,0.5483542730976007,0.8187889705263355,-0.47551964657596957,0.7331030025287651,0.14561526751190537,-0.13943782153434292,0.4182876241413185,-0.19438342526521113,0.20947200178448072,2.048271668399089,0.70490641739858,0.5568173552232512,-0.3471884152985292,-0.12215416177489333,1.8474171581687346
s301,-0.7615783415763093,-1.4534907168518192,-0.997762510194211,-1.327355345051265,-1.2352401520303833,-1.3892615769066505,0.46896978912906395,-0.7028959057730634,0.2634035335540622,-0.8865988652472715,-1.0832864475080795,-1.3513236192995601,-1.7916779001246164,-1.1927024491921543,-1.2574006364407093,1.021835092252409,-0.024052209493572698,-0.561056905097761,1.5601238004373814
s302,-1.7586062959901996,0.151819353094069,-0.1977161256431849,1.8654546328670838,-0.8785212670047866,-0.4692405155605748,-0.34059258437865425,2.0494353351806587,-1.5034204577850168,-0.13943782153434292,0.07177053068376528,-0.09797174242901574,-0.20455901240360863,-0.2667098441660847,0.3124450066307217,0.09179961819409276,-1.3165970327133982,-0.561056905097761,-0.16363634626675963
s304,-0.14783607280036373,-0.3004911389272662,0.32824029382869346,-0.9153798640295424,2.3319486982255846,-0.10123209081973988,1.4134592249960098,-0.7028959057730634,0.02782700132840324,-1.3847062277225561,-0.9677807496888953,-0.6764418394461899,-0.20455901240360863,1.5852753658860548,-0.08001640413713598,-0.37321811925358145,-0.024052209493572698,1.194554068720394,0.9855370849746752
s305,-1.1739743324526157,-0.29526211589708423,0.03563073651753106,1.4690842837016207,0.013275945559205396,-0.837248940099005,0.7388239136856071,-0.8225624814229993,-1.0322673934750444,1.7284647877479768,0.6492990197796876,-1.2549119364633647,0.5544978469412215,0.6592827608599848,-0.4724778149049939,0.09179961819409276,-0.6703246211034856,-0.12215416177489333,0.6982437272433225
s307,-0.482604583041524,-0.04688352201363304,-0.5644040518957385,-0.7936598355458517,-1.0568807095175852,-0.4692405155605748,-0.6104467087732849,-0.4635627544731921,1.7946509926674823,-1.1356525464849143,-1.7763206344231868,0.8661450859329425,0.07146166372178427,1.5852753658860548,1.882290649702153,-0.37321811925358145,1.2684926137262529,-0.561056905097761,1.8474171581687346
